CV,size,channels,s
CV1,16,16,0.0108125
CV1,16,32,0.0285625
CV1,16,64,0.0713125
CV1,32,16,0.0444375
CV1,32,32,0.111375
CV1,32,64,0.246625
CV1,64,16,0.149125
CV1,64,32,0.379
CV1,64,64,0.9845
CV1,128,16,0.6095
CV1,128,32,1.515
CV1,128,64,3.985
CV1,256,16,2.423
CV1,256,32,6.063
CV1,256,64,15.235
CV2,16,16,6.3330078125E-4
CV2,16,32,0.00114453125
CV2,16,64,0.0028984375
CV2,32,16,0.00256640625
CV2,32,32,0.0048828125
CV2,32,64,0.0128203125
CV2,64,16,0.0123359375
CV2,64,32,0.024921875
CV2,64,64,0.0654375
CV2,128,16,0.0556875
CV2,128,32,0.100625
CV2,128,64,0.26175
CV2,256,16,0.22675
CV2,256,32,0.426
CV2,256,64,1.111
